local_goals,local_name,match,visitor_goals,visitor_name
1,Racing Club,Torneo Clausura 1996 - Fecha 8,1,Independiente
2,Independiente,Torneo Apertura 1995 - Fecha 8,2,Racing Club
0,Independiente,Torneo Clausura 1995 - Fecha 3,0,Racing Club
0,Racing Club,Torneo Apertura 1994 - Fecha 3,2,Independiente
2,Independiente,Torneo Clausura 1994 - Fecha 8,2,Racing Club
1,Racing Club,Torneo Apertura 1993 - Fecha 8,0,Independiente
1,Racing Club,Torneo Clausura 1993 - Fecha 6,1,Independiente
1,Independiente,Torneo Apertura 1992 - Fecha 6,1,Racing Club
0,Independiente,Torneo Clausura 1992 - Fecha 5,0,Racing Club
0,Racing Club,Torneo Apertura 1991 - Fecha 5,0,Independiente
0,Racing Club,Torneo Clausura 1991 - Fecha 2,0,Independiente
1,Independiente,Campeonato 1990/91 - Fecha 2,1,Racing Club
1,Racing Club,Campeonato 1989/90 - Fecha 30,0,Independiente
2,Independiente,Campeonato 1989/90 - Fecha 11,2,Racing Club
0,Independiente,Campeonato 1988/89 - Fecha 36,0,Racing Club
2,Racing Club,Campeonato 1988/89 - Fecha 17,1,Independiente
3,Racing Club,Campeonato 1987/88 - Fecha 30,1,Independiente
1,Independiente,Campeonato 1987/88 - Fecha 11,1,Racing Club
2,Independiente,Campeonato 1986/87  - Fecha 21,2,Racing Club
0,Racing Club,Campeonato 1986/87  - Fecha 2,0,Independiente
2,Independiente,Metropolitano 1983 - Fecha 38,0,Racing Club
1,Racing Club,Metropolitano 1983 - Fecha 19,2,Independiente
3,Independiente,Metropolitano 1982 - Fecha 33,1,Racing Club
0,Racing Club,Metropolitano 1982 - Fecha 14,2,Independiente
1,Racing Club,Torneo Nacional 1982 - Torneo Nacional,2,Independiente
1,Independiente,Torneo Nacional 1982 - Torneo Nacional,1,Racing Club
0,Racing Club,Metropolitano 1981 - Fecha 24,0,Independiente
1,Independiente,Metropolitano 1981 - Fecha 7,2,Racing Club
1,Racing Club,Nacional 1981 - Fecha Intergrupo,2,Independiente
0,Independiente,Nacional 1981 - Fecha Intergrupo,0,Racing Club
1,Independiente,Metropolitano 1980 - Fecha 27,0,Racing Club
1,Racing Club,Metropolitano 1980 - Fecha 8,1,Independiente
1,Racing Club,Nacional 1980 - Fecha Intergrupo,2,Independiente
1,Independiente,Nacional 1980 - Fecha Intergrupo,1,Racing Club
2,Independiente,Nacional 1979 - Fecha Intergrupo,3,Racing Club
2,Racing Club,Nacional 1979 - Fecha Intergrupo,3,Independiente
1,Independiente,Metropolitano 1978 - Fecha 24,0,Racing Club
3,Racing Club,Metropolitano 1978 - Fecha 3,2,Independiente
0,Racing Club,Metropolitano 1977 - Fecha 36,0,Independiente
0,Independiente,Metropolitano 1977 - Fecha 13,0,Racing Club
1,Racing Club,Metropolitano 1976 - Fecha Intergrupo,3,Independiente
4,Independiente,Metropolitano 1976 - Fecha Intergrupo,2,Racing Club
1,Independiente,Nacional 1976 - Fecha Intergrupo,1,Racing Club
1,Racing Club,Nacional 1976 - Fecha Intergrupo,2,Independiente
4,Independiente,Metropolitano 1975 - Fecha 23,1,Racing Club
1,Racing Club,Metropolitano 1975 - Fecha 4,5,Independiente
1,Independiente,Nacional 1975 - Fecha Intergrupo,1,Racing Club
5,Racing Club,Nacional 1975 - Fecha Intergrupo,4,Independiente
1,Racing Club,Metropolitano 1974 - Fecha Intergrupo,5,Independiente
4,Independiente,Metropolitano 1974 - Fecha Intergrupo,1,Racing Club
1,Racing Club,Nacional 1974 - Fecha Intergrupo,1,Independiente
2,Independiente,Nacional 1974 - Fecha Intergrupo,0,Racing Club
0,Independiente,Metropolitano 1973 - Fecha 27,0,Racing Club
0,Racing Club,Metropolitano 1973 - Fecha 10,0,Independiente
1,Racing Club,Nacional 1973 - Fecha Intergrupo,3,Independiente
2,Independiente,Metropolitano 1972 - Fecha 22,1,Racing Club
1,Racing Club,Metropolitano 1972 - Fecha 5,1,Independiente
1,Independiente,Nacional 1972 - Fecha Intergrupo,2,Racing Club
1,Independiente,Metropolitano 1971 - Fecha 23,0,Racing Club
3,Racing Club,Metropolitano 1971 - Fecha 4,3,Independiente
2,Independiente,Nacional 1971 - Fecha Intergrupo,1,Racing Club
2,Racing Club,Metropolitano 1970 - Fecha 21,3,Independiente
2,Independiente,Nacional 1970 - Fecha Intergrupo,1,Racing Club
2,Racing Club,Nacional 1970 - Fecha Intergrupo,2,Independiente
2,Independiente,Metropolitano 1969 - Fecha Intergrupo,1,Racing Club
2,Racing Club,Metropolitano 1969 - Fecha Intergrupo,2,Independiente
1,Independiente,Nacional 1969 - Fecha 17,3,Racing Club
2,Independiente,Metropolitano 1968 - Fecha Intergrupo,2,Racing Club
1,Racing Club,Metropolitano 1968 - Fecha Intergrupo,0,Independiente
4,Racing Club,Nacional 1968 - Fecha 5,1,Independiente
2,Racing Club,Metropolitano 1967 - Semifinales,0,Independiente
0,Independiente,Metropolitano 1967 - Fecha Intergrupo,3,Racing Club
0,Racing Club,Metropolitano 1967 - Fecha Intergrupo,1,Independiente
4,Independiente,Nacional 1967 - Fecha 15,0,Racing Club
3,Racing Club,Campeonato 1966 - Fecha 37,3,Independiente
0,Independiente,Campeonato 1966 - Fecha 18,2,Racing Club
2,Racing Club,Campeonato 1965 - Fecha 23,0,Independiente
2,Independiente,Campeonato 1965 - Fecha 6,2,Racing Club
0,Racing Club,Campeonato 1964 - Fecha 18,1,Independiente
3,Independiente,Campeonato 1964 - Fecha 3,1,Racing Club
0,Independiente,Campeonato 1963 - Fecha 17,4,Racing Club
0,Racing Club,Campeonato 1963 - Fecha 4,0,Independiente
0,Independiente,Campeonato 1962 - Fecha 27,0,Racing Club
2,Racing Club,Campeonato 1962 - Fecha 12,2,Independiente
1,Racing Club,Campeonato 1961 - Fecha 29,1,Independiente
4,Independiente,Campeonato 1961 - Fecha 14,0,Racing Club
0,Racing Club,Campeonato 1960 - Fecha 29,0,Independiente
3,Independiente,Campeonato 1960 - Fecha 14,3,Racing Club
3,Independiente,Campeonato 1959 - Fecha 29,4,Racing Club
1,Racing Club,Campeonato 1959 - Fecha 14,3,Independiente
4,Racing Club,Campeonato 1958 - Fecha 18,1,Independiente
1,Independiente,Campeonato 1958 - Fecha 3,1,Racing Club
2,Independiente,Campeonato 1957 - Fecha 28,2,Racing Club
2,Racing Club,Campeonato 1957 - Fecha 13,3,Independiente
2,Independiente,Campeonato 1956 - Fecha 19,2,Racing Club
2,Racing Club,Campeonato 1956 - Fecha 4,0,Independiente
0,Independiente,Campeonato 1955 - Fecha 21,1,Racing Club
1,Racing Club,Campeonato 1955 - Fecha 6,1,Independiente
2,Independiente,Campeonato 1954 - Fecha 19,0,Racing Club
1,Racing Club,Campeonato 1954 - Fecha 4,4,Independiente
5,Independiente,Campeonato 1953 - Fecha 30,1,Racing Club
3,Racing Club,Campeonato 1953 - Fecha 15,0,Independiente
1,Racing Club,Campeonato 1952 - Fecha 30,0,Independiente
1,Independiente,Campeonato 1952 - Fecha 15,1,Racing Club
1,Racing Club,Campeonato 1951 - Fecha 27,0,Independiente
1,Independiente,Campeonato 1951 - Fecha 10,1,Racing Club
2,Independiente,Campeonato 1950 - Fecha 24,4,Racing Club
3,Racing Club,Campeonato 1950 - Fecha 7,1,Independiente
3,Racing Club,Campeonato 1949 - Fecha 27,0,Independiente
2,Independiente,Campeonato 1949 - Fecha 10,5,Racing Club
0,Racing Club,Campeonato 1948 - Fecha 27,1,Independiente
2,Independiente,Campeonato 1948 - Fecha 12,3,Racing Club
1,Independiente,Campeonato 1947 - Fecha 28,2,Racing Club
3,Racing Club,Campeonato 1947 - Fecha 13,2,Independiente
0,Independiente,Campeonato 1946 - Fecha 28,2,Racing Club
1,Racing Club,Campeonato 1946 - Fecha 13,3,Independiente
5,Independiente,Campeonato 1945 - Fecha 21,1,Racing Club
0,Racing Club,Campeonato 1945 - Fecha 6,2,Independiente
1,Independiente,Campeonato 1944 - Fecha 26,0,Racing Club
4,Racing Club,Campeonato 1944 - Fecha 11,2,Independiente
2,Racing Club,Campeonato 1943 - Fecha 28,2,Independiente
1,Independiente,Campeonato 1943 - Fecha 13,2,Racing Club
0,Independiente,Campeonato 1942 - Fecha 19,0,Racing Club
1,Racing Club,Campeonato 1942 - Fecha 4,2,Independiente
3,Racing Club,Campeonato 1941 - Fecha 30,1,Independiente
3,Independiente,Campeonato 1941 - Fecha 15,1,Racing Club
7,Independiente,Campeonato 1940 - Fecha 27,0,Racing Club
1,Racing Club,Campeonato 1940 - Fecha 10,1,Independiente
3,Independiente,Campeonato 1939 - Fecha 20,3,Racing Club
2,Racing Club,Campeonato 1939 - Fecha 3,0,Independiente
2,Racing Club,Campeonato 1938 - Fecha 27,3,Independiente
2,Independiente,Campeonato 1938 - Fecha 10,2,Racing Club
3,Independiente,Campeonato 1937 - Fecha 35,1,Racing Club
1,Racing Club,Campeonato 1937 - Fecha 17,4,Independiente
4,Racing Club,Campeonato 1936 - Fecha 14,2,Independiente
1,Independiente,Copa de Honor 1936 - Fecha 14,1,Racing Club
1,Racing Club,Campeonato 1935 - Fecha 22,3,Independiente
2,Independiente,Campeonato 1935 - Fecha 5,0,Racing Club
1,Independiente,Campeonato 1934 - Fecha 32,1,Racing Club
1,Independiente,Campeonato 1934 - Fecha 15,3,Racing Club
0,Racing Club,Campeonato 1934 - Fecha 2,1,Independiente
2,Independiente,Campeonato 1933 - Fecha 19,1,Racing Club
2,Racing Club,Campeonato 1933 - Fecha 2,1,Independiente
0,Independiente,Campeonato 1932 - Fecha 34,1,Racing Club
0,Racing Club,Campeonato 1932 - Fecha 17,2,Independiente
7,Racing Club,Campeonato 1931 - Fecha 18,4,Independiente
1,Independiente,Campeonato 1931 - Fecha 1,4,Racing Club
1,Huracan,Superliga 2017/18 - Fecha 19,1,San Lorenzo
0,Huracan,Campeonato 2016/17 - Fecha 24,1,San Lorenzo
2,San Lorenzo,Campeonato 2016/17 - Fecha 9,0,Huracan
1,San Lorenzo,Torneo 2016 - Fecha 12,0,Huracan
1,Huracan,Torneo 2016 - Fecha 5,1,San Lorenzo
1,Huracan,Campeonato 2015 - Fecha 24,0,San Lorenzo
3,San Lorenzo,Campeonato 2015 - Fecha 5,1,Huracan
3,San Lorenzo,Torneo Clausura 2011 - Fecha 12,0,Huracan
3,Huracan,Torneo Apertura 2010 - Fecha 12,0,San Lorenzo
3,San Lorenzo,Torneo Clausura 2010 - Fecha 15,0,Huracan
0,Huracan,Torneo Apertura 2009 - Fecha 15,2,San Lorenzo
0,San Lorenzo,Torneo Clausura 2009 - Fecha 17,1,Huracan
1,Huracan,Torneo Apertura 2008 - Fecha 17,4,San Lorenzo
0,Huracan,Torneo Clausura 2008 - Fecha 15,0,San Lorenzo
1,San Lorenzo,Torneo Apertura 2007 - Fecha 15,1,Huracan
4,San Lorenzo,Torneo Clausura 2003 - Fecha 16,0,Huracan
0,Huracan,Torneo Apertura 2002 - Fecha 16,4,San Lorenzo
1,Huracan,Torneo Clausura 2002 - Fecha 17,1,San Lorenzo
0,San Lorenzo,Torneo Apertura 2001 - Fecha 17,1,Huracan
1,San Lorenzo,Torneo Clausura 2001 - Fecha 6,1,Huracan
2,Huracan,Torneo Apertura 2000 - Fecha 6,1,San Lorenzo
1,Huracan,Torneo Clausura 1999 - Fecha 16,1,San Lorenzo
2,San Lorenzo,Torneo Apertura 1998 - Fecha 16,0,Huracan
2,Huracan,Torneo Clausura 1998 - Fecha 19,1,San Lorenzo
0,San Lorenzo,Torneo Apertura 1997 - Fecha 19,0,Huracan
5,San Lorenzo,Torneo Clausura 1997 - Fecha 2,1,Huracan
1,Huracan,Torneo Apertura 1996 - Fecha 2,1,San Lorenzo
1,Huracan,Torneo Clausura 1996 - Fecha 6,1,San Lorenzo
5,San Lorenzo,Torneo Apertura 1995 - Fecha 6,0,Huracan
3,San Lorenzo,Torneo Clausura 1995 - Fecha 14,0,Huracan
1,Huracan,Torneo Apertura 1994 - Fecha 14,2,San Lorenzo
2,Huracan,Torneo Clausura 1994 - Fecha 12,1,San Lorenzo
1,San Lorenzo,Torneo Apertura 1993 - Fecha 12,0,Huracan
1,San Lorenzo,Torneo Clausura 1993 - Fecha 16,0,Huracan
1,Huracan,Torneo Apertura 1992 - Fecha 16,0,San Lorenzo
2,San Lorenzo,Torneo Clausura 1992 - Fecha 15,2,Huracan
2,Huracan,Torneo Apertura 1991 - Fecha 15,2,San Lorenzo
